Date,Close
1/2/2018 16:00:00,73.84
1/3/2018 16:00:00,76.75
1/4/2018 16:00:00,76.73
1/5/2018 16:00:00,78.7
1/8/2018 16:00:00,79.05
1/9/2018 16:00:00,79.19
1/10/2018 16:00:00,79.37
1/11/2018 16:00:00,79.75
1/12/2018 16:00:00,80.54
1/16/2018 16:00:00,80.42
1/17/2018 16:00:00,82.47
1/18/2018 16:00:00,82.94
1/19/2018 16:00:00,83.84
1/22/2018 16:00:00,83.98
1/23/2018 16:00:00,84.21
1/24/2018 16:00:00,83.71
1/25/2018 16:00:00,84.34
1/26/2018 16:00:00,85.45
1/29/2018 16:00:00,84.31
1/30/2018 16:00:00,83.78
1/31/2018 16:00:00,85.32
2/1/2018 16:00:00,78.4
2/2/2018 16:00:00,76.57
2/5/2018 16:00:00,74.71
2/6/2018 16:00:00,75.68
2/7/2018 16:00:00,75.59
2/8/2018 16:00:00,72.32
2/9/2018 16:00:00,74.75
2/12/2018 16:00:00,75.28
2/13/2018 16:00:00,74.97
2/14/2018 16:00:00,77.27
2/15/2018 16:00:00,78.3
2/16/2018 16:00:00,78.37
2/20/2018 16:00:00,77.06
2/21/2018 16:00:00,76.51
2/22/2018 16:00:00,77.7
2/23/2018 16:00:00,79.69
2/26/2018 16:00:00,79.35
2/27/2018 16:00:00,79.46
2/28/2018 16:00:00,79.41
3/1/2018 16:00:00,78.64
3/2/2018 16:00:00,78.87
3/5/2018 16:00:00,79.07
3/6/2018 16:00:00,79.23
3/7/2018 16:00:00,79.52
3/8/2018 16:00:00,79.87
3/9/2018 16:00:00,80.71
3/12/2018 16:00:00,80.6
3/13/2018 16:00:00,80.2
3/14/2018 16:00:00,83.31
3/15/2018 16:00:00,82.57
3/16/2018 16:00:00,82.16
3/19/2018 16:00:00,80.3
3/20/2018 16:00:00,80.86
3/21/2018 16:00:00,81.04
3/22/2018 16:00:00,78.56
3/23/2018 16:00:00,76.44
3/26/2018 16:00:00,78.95
3/27/2018 16:00:00,76.31
3/28/2018 16:00:00,75.06
3/29/2018 16:00:00,75.87
4/2/2018 16:00:00,75
4/3/2018 16:00:00,74.56
4/4/2018 16:00:00,74.78
4/5/2018 16:00:00,76.95
4/6/2018 16:00:00,73.86
4/9/2018 16:00:00,75.19
4/10/2018 16:00:00,76.79
4/11/2018 16:00:00,76.5
4/12/2018 16:00:00,77.46
4/13/2018 16:00:00,77.27
4/16/2018 16:00:00,77.8
4/17/2018 16:00:00,80.03
4/18/2018 16:00:00,80.34
4/19/2018 16:00:00,79.68
